domain,source_mode,run_id,category,region,rank,overall_score,grade,no_pre_consent_trackers,reject_option_available,equal_accept_reject_effort,no_dark_patterns,post_reject_compliance,transparent_information,cmp_detected,dark_pattern_count,pre_consent_tracker_count,total_pre_consent_cookies
20minutes.fr,real_combined,batch-0,news,FR,64,12,F,10,0,0,30,0,50,Didomi,2,8,6
abc.es,real_combined,batch-0,news,ES,69,60.5,C,0,100,100,100,50,30,Didomi,0,20,24
academia.edu,real_combined,batch-0,education,US/EU,89,11,F,0,0,0,60,0,20,,1,9,10
airbnb.com,real_combined,batch-0,travel,US/EU,49,11,F,0,0,0,60,0,20,OneTrust,1,12,34
allegro.pl,real_combined,batch-0,e-commerce,PL,20,16.5,F,30,0,0,60,0,0,,1,4,3
amazon.de,real_combined,batch-0,e-commerce,DE,13,24,F,60,0,0,60,0,0,,1,2,2
amazon.fr,real_combined,batch-0,e-commerce,FR,14,13.5,F,10,0,0,60,0,20,,1,5,10
arxiv.org,real_combined,batch-0,education,US/EU,91,34,F,100,0,0,60,0,0,,1,0,0
asos.com,real_combined,batch-0,e-commerce,UK/EU,71,34,F,100,0,0,60,0,0,,1,0,2
bbc.co.uk,real_combined,batch-0,news,UK,1,9,F,0,0,0,60,0,0,TrustArc,1,11,23
bol.com,real_combined,batch-0,e-commerce,NL,12,24,F,60,0,0,60,0,0,,1,1,2
booking.com,real_combined,batch-0,travel,NL/EU,48,67.5,C,0,100,100,100,50,100,OneTrust,0,14,19
bund.de,real_combined,batch-0,government,DE,30,35,F,100,0,0,0,0,100,,3,0,0
canva.com,real_combined,batch-0,tech,AU/EU,94,67,C,30,100,100,30,100,50,,2,3,8
carrefour.fr,real_combined,batch-0,e-commerce,FR,17,65,C,10,100,100,100,50,50,OneTrust,0,9,14
cdiscount.com,real_combined,batch-0,e-commerce,FR,74,9,F,10,0,0,30,0,20,,2,7,23
cloudflare.com,real_combined,batch-0,tech,US/EU,92,70,C,30,100,100,100,50,50,OneTrust,0,4,3
cnn.com,real_combined,batch-0,news,US/EU,8,11.5,F,0,0,0,30,0,70,OneTrust,2,20,22
corriere.it,real_combined,batch-0,news,IT,65,11,F,0,0,0,60,0,20,,1,28,49
coursera.org,real_combined,batch-0,education,US/EU,37,67,C,10,100,100,100,50,70,OneTrust,0,9,8
dailymotion.com,real_combined,batch-0,entertainment,FR/EU,87,13.5,F,10,0,0,60,0,20,,1,8,7
data.europa.eu,real_combined,batch-0,government,EU,31,21.5,F,60,0,0,30,0,20,TrustArc,2,1,3
decathlon.fr,real_combined,batch-0,e-commerce,FR,72,17,F,30,0,0,30,0,50,TrustArc,2,5,5
deezer.com,real_combined,batch-0,entertainment,FR/EU,86,13.5,F,10,0,0,60,0,20,,1,8,4
discord.com,real_combined,batch-0,social_media,US/EU,81,67,C,10,100,100,100,50,70,OneTrust,0,9,10
disneyplus.com,real_combined,batch-0,entertainment,US/EU,85,26,F,60,0,0,60,0,20,OneTrust,1,2,1
duolingo.com,real_combined,batch-0,education,US/EU,90,59,D,10,100,100,60,50,50,OneTrust,1,7,12
dw.com,real_combined,batch-0,news,DE,10,18.5,F,30,0,0,60,0,20,Quantcast,1,3,8
ebay.de,real_combined,batch-0,marketplace,DE,59,13.5,F,10,0,0,60,0,20,TrustArc,1,5,14
edx.org,real_combined,batch-0,education,US/EU,38,65,C,10,100,100,100,50,50,OneTrust,0,9,12
elpais.com,real_combined,batch-0,news,ES,4,65.5,C,0,100,100,100,50,80,TrustArc,0,21,26
etsy.com,real_combined,batch-0,marketplace,US/EU,60,24,F,60,0,0,60,0,0,,1,1,2
euronews.com,real_combined,batch-0,news,EU,9,17,F,0,0,0,60,0,80,Didomi,1,26,28
europa.eu,real_combined,batch-0,government,EU,27,24.5,F,60,0,0,30,0,50,OneTrust,2,2,3
expedia.com,real_combined,batch-0,travel,US/EU,98,16.5,F,30,0,0,60,0,0,,1,3,11
facebook.com,real_combined,batch-0,social_media,US/EU,23,31,F,60,0,0,60,0,70,Cookiebot,1,2,0
fnac.com,real_combined,batch-0,e-commerce,FR,73,34,F,100,0,0,60,0,0,,1,0,1
ft.com,real_combined,batch-0,news,UK,61,11.5,F,10,0,0,60,0,0,TrustArc,1,6,14
futurelearn.com,real_combined,batch-0,education,UK,41,9,F,0,0,0,60,0,0,OneTrust,1,20,26
github.com,real_combined,batch-0,tech,US/EU,42,26,F,60,0,0,60,0,20,,1,2,6
gitlab.com,real_combined,batch-0,tech,EU,44,19.5,F,10,0,50,30,0,50,OneTrust,2,6,3
glassdoor.com,real_combined,batch-0,employment,US/EU,97,12,F,10,0,0,30,0,50,OneTrust,2,10,17
gov.uk,real_combined,batch-0,government,UK,29,74.5,C,60,100,100,100,50,20,,0,1,1
hm.com,real_combined,batch-0,e-commerce,SE/EU,16,34,F,100,0,0,60,0,0,,1,0,3
idealo.de,real_combined,batch-0,marketplace,DE,78,34,F,100,0,0,60,0,0,,1,0,3
ikea.com,real_combined,batch-0,e-commerce,SE/EU,15,74.5,C,60,100,100,60,50,80,OneTrust,1,2,3
imdb.com,real_combined,batch-0,entertainment,US/EU,84,64,C,10,100,100,30,100,70,TrustArc,2,6,6
indeed.com,real_combined,batch-0,employment,US/EU,96,51.5,D,10,100,100,60,0,50,OneTrust,1,5,17
ing.com,real_combined,batch-0,finance,NL/EU,57,57.5,D,10,100,100,100,0,50,,0,7,15
instagram.com,real_combined,batch-0,social_media,US/EU,24,27,F,60,0,0,60,0,30,Cookiebot,1,2,1
kayak.com,real_combined,batch-0,travel,US/EU,100,11.5,F,10,0,0,60,0,0,Cookiebot,1,7,18
khanacademy.org,real_combined,batch-0,education,US/EU,39,16.5,F,10,0,50,30,0,20,OneTrust,2,6,4
lemonde.fr,real_combined,batch-0,news,FR,2,11.5,F,0,0,0,30,0,70,,2,4,7
leroymerlin.fr,real_combined,batch-0,e-commerce,FR,75,24,F,60,0,0,60,0,0,,1,1,1
lesechos.fr,real_combined,batch-0,news,FR,70,34,F,100,0,0,60,0,0,,1,0,0
linkedin.com,real_combined,batch-0,social_media,US/EU,25,59.5,D,0,100,100,100,50,20,,0,4,11
