domain,pet_name,tracker_domains,tracker_cookies,total_cookies,total_requests,page_load_time_ms,consent_banner_detected,cookies_after_reject
adtracker-news.com,baseline,12,10,14,13,1256,True,14
adtracker-news.com,ublock_origin,1,0,8,9,709,False,0
adtracker-news.com,privacy_badger,3,2,9,11,665,True,9
adtracker-news.com,firefox_etp_standard,5,4,11,12,1176,True,9
adtracker-news.com,firefox_etp_strict,2,2,8,10,1749,True,8
adtracker-news.com,brave_shields,1,0,6,9,1616,True,0
adtracker-news.com,consent_o_matic,12,10,5,13,3313,True,1
bbc.co.uk,baseline,25,30,31,313,826,True,31
bbc.co.uk,ublock_origin,3,2,8,200,940,False,1
bbc.co.uk,privacy_badger,9,11,18,255,1378,True,18
bbc.co.uk,firefox_etp_standard,10,12,21,269,1404,True,19
bbc.co.uk,firefox_etp_strict,6,7,14,232,688,True,12
bbc.co.uk,brave_shields,3,3,8,205,755,False,3
bbc.co.uk,consent_o_matic,25,30,17,313,1222,True,7
cleansite.de,baseline,1,0,3,10,2000,True,1
cleansite.de,ublock_origin,1,0,3,7,966,False,0
cleansite.de,privacy_badger,0,0,3,8,806,True,0
cleansite.de,firefox_etp_standard,0,0,3,9,2001,True,2
cleansite.de,firefox_etp_strict,0,0,3,8,1327,True,3
cleansite.de,brave_shields,0,0,3,7,646,False,0
cleansite.de,consent_o_matic,1,0,1,10,3087,True,0
clickbait.io,baseline,16,15,17,17,1469,True,16
clickbait.io,ublock_origin,1,1,2,11,1164,False,1
clickbait.io,privacy_badger,5,5,11,14,665,True,9
clickbait.io,firefox_etp_standard,6,6,12,15,835,True,12
clickbait.io,firefox_etp_strict,2,2,7,13,1761,True,5
clickbait.io,brave_shields,2,2,6,12,1522,True,2
clickbait.io,consent_o_matic,16,15,5,17,2779,True,2
dark-patterns.shop,baseline,11,9,13,12,1884,True,13
dark-patterns.shop,ublock_origin,0,1,4,6,1377,False,0
dark-patterns.shop,privacy_badger,3,2,9,10,883,True,6
dark-patterns.shop,firefox_etp_standard,5,4,11,11,796,True,11
dark-patterns.shop,firefox_etp_strict,3,2,8,9,927,True,6
dark-patterns.shop,brave_shields,1,1,7,8,630,True,1
dark-patterns.shop,consent_o_matic,11,9,4,12,3067,True,1
edu-portal.fr,baseline,2,1,5,10,847,True,3
edu-portal.fr,ublock_origin,0,1,4,7,1101,False,0
edu-portal.fr,privacy_badger,0,0,5,9,2078,True,3
edu-portal.fr,firefox_etp_standard,0,0,5,9,2260,True,5
edu-portal.fr,firefox_etp_strict,0,0,5,8,817,True,3
edu-portal.fr,brave_shields,0,0,5,7,1539,False,0
edu-portal.fr,consent_o_matic,2,1,3,10,2431,True,1
example.com,baseline,0,0,0,10,2972,True,0
example.com,ublock_origin,1,1,1,7,1243,False,0
example.com,privacy_badger,0,0,0,9,1093,True,0
example.com,firefox_etp_standard,0,0,0,9,1695,True,0
example.com,firefox_etp_strict,0,0,0,8,1690,True,0
example.com,brave_shields,0,0,0,7,1473,False,0
example.com,consent_o_matic,0,0,0,10,1985,True,0
fintech.eu,baseline,3,2,8,10,1667,True,6
fintech.eu,ublock_origin,0,1,6,5,1264,False,0
fintech.eu,privacy_badger,1,0,8,9,1060,True,8
fintech.eu,firefox_etp_standard,1,0,8,9,1904,True,6
fintech.eu,firefox_etp_strict,0,0,7,8,1051,True,7
fintech.eu,brave_shields,0,0,7,7,1792,True,0
fintech.eu,consent_o_matic,3,2,6,10,1028,True,3
freestream.tv,baseline,14,12,15,15,1090,True,13
freestream.tv,ublock_origin,0,1,4,9,938,False,0
freestream.tv,privacy_badger,4,4,10,13,1568,True,7
freestream.tv,firefox_etp_standard,6,5,12,13,898,True,10
freestream.tv,firefox_etp_strict,3,2,8,11,1467,True,7
freestream.tv,brave_shields,1,1,6,10,610,False,1
freestream.tv,consent_o_matic,14,12,3,15,1303,True,1
goodbank.eu,baseline,0,0,5,10,2449,True,3
goodbank.eu,ublock_origin,1,0,5,7,889,False,0
goodbank.eu,privacy_badger,0,0,5,8,1170,True,2
goodbank.eu,firefox_etp_standard,0,0,5,9,854,True,4
goodbank.eu,firefox_etp_strict,0,0,5,8,1727,True,5
goodbank.eu,brave_shields,0,0,5,7,1607,False,0
goodbank.eu,consent_o_matic,0,0,3,10,1868,True,1
lemonde.fr,baseline,4,2,7,41,2464,True,6
lemonde.fr,ublock_origin,1,0,5,28,837,False,0
lemonde.fr,privacy_badger,1,0,7,33,1531,True,5
lemonde.fr,firefox_etp_standard,1,0,7,36,2196,True,5
lemonde.fr,firefox_etp_strict,0,0,6,30,1596,True,6
lemonde.fr,brave_shields,0,0,6,28,945,False,0
lemonde.fr,consent_o_matic,4,2,5,41,2184,True,3
minimal.org,baseline,0,0,2,10,1005,True,0
minimal.org,ublock_origin,1,0,2,5,664,False,0
minimal.org,privacy_badger,0,0,2,8,1982,True,1
minimal.org,firefox_etp_standard,0,0,2,9,1866,True,2
minimal.org,firefox_etp_strict,0,0,2,8,681,True,0
minimal.org,brave_shields,0,0,2,7,1695,True,0
minimal.org,consent_o_matic,0,0,0,10,1968,True,0
news-daily.co.uk,baseline,4,3,8,10,2086,True,8
news-daily.co.uk,ublock_origin,1,1,7,5,1114,False,1
news-daily.co.uk,privacy_badger,1,1,7,9,1872,True,7
news-daily.co.uk,firefox_etp_standard,1,1,8,9,1136,True,6
news-daily.co.uk,firefox_etp_strict,1,0,7,8,1314,True,7
news-daily.co.uk,brave_shields,0,0,6,7,1256,True,0
news-daily.co.uk,consent_o_matic,4,3,5,10,3125,True,2
open-data.gov.uk,baseline,1,0,3,10,2966,True,3
open-data.gov.uk,ublock_origin,1,0,3,6,736,False,0
open-data.gov.uk,privacy_badger,0,0,3,9,1838,True,2
open-data.gov.uk,firefox_etp_standard,0,0,3,9,1116,True,1
open-data.gov.uk,firefox_etp_strict,0,0,3,8,1140,True,1
open-data.gov.uk,brave_shields,0,0,3,7,604,True,0
open-data.gov.uk,consent_o_matic,1,0,0,10,2033,True,0
privacy-first.nl,baseline,0,0,2,10,814,True,1
privacy-first.nl,ublock_origin,0,1,2,5,1404,False,0
privacy-first.nl,privacy_badger,0,0,2,8,829,True,2
privacy-first.nl,firefox_etp_standard,0,0,2,9,2115,True,2
privacy-first.nl,firefox_etp_strict,0,0,2,8,1356,True,0
privacy-first.nl,brave_shields,0,0,2,7,1380,True,0
privacy-first.nl,consent_o_matic,0,0,0,10,2393,True,0
shady-shop.eu,baseline,10,8,13,11,2265,True,13
shady-shop.eu,ublock_origin,0,0,7,6,1332,False,0
shady-shop.eu,privacy_badger,2,1,9,9,1084,True,8
shady-shop.eu,firefox_etp_standard,3,2,10,10,2360,True,10
shady-shop.eu,firefox_etp_strict,1,1,8,8,650,True,8
shady-shop.eu,brave_shields,0,0,7,7,1180,False,0
shady-shop.eu,consent_o_matic,10,8,8,11,1916,True,5
shopmore.de,baseline,3,2,8,10,1452,True,6
shopmore.de,ublock_origin,0,1,7,6,955,True,0
shopmore.de,privacy_badger,0,0,8,8,1066,True,7
shopmore.de,firefox_etp_standard,1,0,8,9,1095,True,7
shopmore.de,firefox_etp_strict,0,0,7,8,742,True,6
shopmore.de,brave_shields,0,0,7,7,1543,True,0
shopmore.de,consent_o_matic,3,2,5,10,1013,True,3
socialnet.fr,baseline,6,5,8,10,1869,True,8
socialnet.fr,ublock_origin,1,0,6,5,1389,False,0
socialnet.fr,privacy_badger,1,1,6,8,1647,True,6
socialnet.fr,firefox_etp_standard,2,2,7,9,1880,True,7
socialnet.fr,firefox_etp_strict,1,1,6,8,2051,True,5
socialnet.fr,brave_shields,1,0,5,7,1602,False,0
socialnet.fr,consent_o_matic,6,5,5,10,2391,True,2
techblog.com,baseline,5,4,8,10,1086,True,6
techblog.com,ublock_origin,1,1,4,7,1115,False,0
techblog.com,privacy_badger,1,1,7,9,2027,True,5
techblog.com,firefox_etp_standard,1,1,7,9,1092,True,6
techblog.com,firefox_etp_strict,1,0,6,8,1376,True,4
techblog.com,brave_shields,0,0,5,7,856,False,0
techblog.com,consent_o_matic,5,4,5,10,2563,True,3
tracker-heavy.de,baseline,10,8,12,11,2044,True,11
tracker-heavy.de,ublock_origin,0,1,4,6,1159,False,0
tracker-heavy.de,privacy_badger,2,2,8,9,1646,True,5
tracker-heavy.de,firefox_etp_standard,3,2,9,10,2330,True,7
tracker-heavy.de,firefox_etp_strict,2,2,8,9,773,True,7
tracker-heavy.de,brave_shields,1,0,6,8,1796,False,0
tracker-heavy.de,consent_o_matic,10,8,10,11,1862,True,6
vidshare.com,baseline,8,6,11,10,2071,True,11
vidshare.com,ublock_origin,0,0,8,7,1001,False,0
vidshare.com,privacy_badger,2,1,9,8,1889,True,8
vidshare.com,firefox_etp_standard,2,2,9,9,1486,True,8
vidshare.com,firefox_etp_strict,1,1,8,8,902,True,6
vidshare.com,brave_shields,0,0,7,7,718,False,0
vidshare.com,consent_o_matic,8,6,8,10,1620,True,5
wall-site.nl,baseline,8,6,9,10,1005,True,7
wall-site.nl,ublock_origin,0,0,3,7,1451,False,0
wall-site.nl,privacy_badger,1,1,6,8,1506,True,3
wall-site.nl,firefox_etp_standard,2,2,7,9,1822,True,6
wall-site.nl,firefox_etp_strict,1,0,5,8,2123,True,4
wall-site.nl,brave_shields,1,0,5,7,1006,False,0
wall-site.nl,consent_o_matic,8,6,5,10,3035,True,2
