domain,category,region,rank
yahoo.com,tech,US,1
ebay.com,e-commerce,US,2
tumblr.com,social_media,US,3
whatsapp.com,social_media,US,4
telegram.org,social_media,EU,5
sueddeutsche.de,news,DE,6
lefigaro.fr,news,FR,7
ilsole24ore.com,news,IT,8
larazon.es,news,ES,9
dailymail.co.uk,news,UK,10
asos.de,e-commerce,DE,11
zara.com,e-commerce,ES,12
hbogo.com,entertainment,US,13
crunchyroll.com,entertainment,US,14
sky.de,entertainment,DE,15
stanford.edu,education,US,16
imperial.ac.uk,education,UK,17
tu-berlin.de,education,DE,18
ens.psl.eu,education,FR,19
upc.edu,education,ES,20
ec.europa.eu,government,EU,21
senat.fr,government,FR,22
camera.it,government,IT,23
boe.es,government,ES,24
parliament.uk,government,UK,25
creditsuisse.com,finance,CH,26
societegenerate.fr,finance,FR,27
abn-amro.nl,finance,NL,28
mps.it,finance,IT,29
caixabank.com,finance,ES,30
klm.com,travel,NL,31
eurowings.com,travel,DE,32
transavia.com,travel,FR,33
norwegian.com,travel,NO,34
tap.pt,travel,PT,35
linkedin.de,employment,DE,36
totaljobs.com,employment,UK,37
cadremploi.fr,employment,FR,38
jobrapido.com,employment,IT,39
trabajar.com,employment,ES,40
doctolib.de,health,DE,41
nhs.co.uk,health,UK,42
healthline.com,health,US,43
farmaciaonline.it,health,IT,44
farmaciasdirect.com,health,ES,45
gumtree.com,marketplace,UK,46
milanuncios.com,marketplace,ES,47
ricardo.ch,marketplace,CH,48
tori.fi,marketplace,FI,49
dba.dk,marketplace,DK,50
zeit.de,news,DE,51
france24.com,news,FR,52
rainews.it,news,IT,53
europapress.es,news,ES,54
sky.com,news,UK,55
mango.com,e-commerce,ES,56
decathlon.de,e-commerce,DE,57
veepee.com,e-commerce,FR,58
eprice.it,e-commerce,IT,59
bol.de,e-commerce,DE,60
paramount.com,entertainment,US,61
maxdome.de,entertainment,DE,62
france.tv,entertainment,FR,63
mediasetplay.it,entertainment,IT,64
atresplayer.com,entertainment,ES,65
harvard.edu,education,US,66
ucl.ac.uk,education,UK,67
rwth-aachen.de,education,DE,68
sciencespo.fr,education,FR,69
unibo.it,education,IT,70
ladfranceconnect.gouv.fr,government,FR,71
agenziaentrate.gov.it,government,IT,72
agenciatributaria.es,government,ES,73
belastingdienst.nl,government,NL,74
elster.de,government,DE,75
triodos.com,finance,NL,76
belfius.be,finance,BE,77
mediolanum.it,finance,IT,78
kutxabank.com,finance,ES,79
n26.de,finance,DE,80
britishairways.com,travel,UK,81
condor.com,travel,DE,82
corsair.fr,travel,FR,83
volotea.com,travel,ES,84
finnair.com,travel,FI,85
xing.com,employment,DE,86
hays.com,employment,UK,87
apec.fr,employment,FR,88
experteer.com,employment,DE,89
manpower.com,employment,US,90
clevelandclinic.org,health,US,91
netdoktor.at,health,AT,92
gezondheid.be,health,BE,93
terveyskirjasto.fi,health,FI,94
thuisarts.nl,health,NL,95
craigslist.org,marketplace,US,96
blocket.se,marketplace,SE,97
finn.no,marketplace,NO,98
olx.pl,marketplace,PL,99
sahibinden.com,marketplace,TR,100
